"","time_tick","acc_X_value","acc_Y_value","acc_Z_value","train","color"
"245",8.163766,0.133631,0.008679,-9.213816,"A","blue"
"246",8.196562,0.038758,-0.276989,-9.568619,"A","blue"
"247",8.230479,-0.001347,-0.321732,-9.483173,"A","blue"
"248",8.263498,-0.030677,-0.304673,-9.797722,"A","blue"
"249",8.296419,0.168797,0.001496,-9.46327,"A","blue"
"250",8.330414,0.473171,0.02514,-9.040978,"A","blue"
"251",8.362994,0.253944,-0.267861,-10.029669,"A","blue"
"252",8.397085,0.124204,-0.332656,-10.124094,"A","blue"
"253",8.430423,0.024242,-0.330412,-9.336672,"A","blue"
"254",8.463763,0.187203,-0.327119,-9.708385,"A","blue"
"255",8.496636,0.317243,-0.317093,-10.243209,"A","blue"
"256",8.530465,0.65783,-0.3352,-10.184998,"A","blue"
"257",8.5629,0.797597,-0.344927,-9.991809,"A","blue"
"258",8.597249,0.68312,-0.361687,-9.802062,"A","blue"
"259",8.630476,0.418252,-0.397751,-9.48437,"A","blue"
"260",8.66305,0.321583,-0.388922,-9.496341,"A","blue"
"261",8.697169,0.328915,-0.367074,-10.118557,"A","blue"
"262",8.730114,0.609047,-0.344029,-9.429152,"A","blue"
"263",8.763792,0.7123,-0.334602,-9.189424,"A","blue"
"264",8.797409,0.761832,-0.338343,-10.187841,"A","blue"
"265",8.830217,0.575078,-0.376202,-9.739212,"A","blue"
"266",8.863768,0.58675,-0.343431,-9.504123,"A","blue"
"267",8.897181,0.610693,-0.33535,-9.662146,"A","blue"
"268",8.929566,0.605156,-0.339091,-10.245753,"A","blue"
"269",8.963201,0.650348,-0.54066,-9.966071,"A","blue"
"270",8.997087,0.617128,-0.624759,-10.678221,"A","blue"
"271",9.030208,0.57403,-0.529886,-10.110027,"A","blue"
"272",9.063797,0.518962,-0.352259,-9.013893,"A","blue"
"273",9.096502,0.487537,-0.327119,-9.236561,"A","blue"
"274",9.130478,0.536171,-0.564004,-10.108531,"A","blue"
"275",9.163832,0.560712,-0.611142,-10.13397,"A","blue"
"276",9.19722,0.669203,-0.347621,-9.786499,"A","blue"
"277",9.23045,0.681923,-0.195883,-8.611054,"A","blue"
"278",9.263873,0.606653,-0.282975,-9.386952,"A","blue"
"279",9.297026,0.240476,-0.384732,-11.406534,"A","blue"
"280",9.33049,0.289559,-0.351212,-8.254006,"A","blue"
"281",9.363796,1.348283,-0.358545,-8.324487,"A","blue"
"282",9.396446,1.267176,-0.189598,-10.3101,"A","blue"
"283",9.430437,0.000748,-0.394608,-10.749451,"A","blue"
"284",9.463795,0.018556,-0.262923,-9.201844,"A","blue"
"285",9.497227,0.176579,0.099064,-9.206782,"A","blue"
"286",9.530504,0.452371,0.186904,-9.679953,"A","blue"
"287",9.563785,0.450126,-0.140365,-10.779679,"A","blue"
"288",9.597255,0.42319,-0.212343,-10.947279,"A","blue"
"289",9.630489,0.331309,0.068387,-9.475541,"A","blue"
"290",9.662918,0.516268,0.102206,-9.127322,"A","blue"
"291",9.697243,0.589743,-0.1468,-9.942427,"A","blue"
"292",9.730477,0.483796,-0.281478,-9.840221,"A","blue"
"293",9.763836,0.491577,-0.280281,-9.394584,"A","blue"
"294",9.797249,0.529886,-0.136325,-9.499484,"A","blue"
"295",9.830454,0.538715,-0.019603,-9.585379,"A","blue"
"296",9.86387,0.44863,0.124204,-9.266639,"A","blue"
"297",9.89721,0.522852,0.05028,-9.074498,"A","blue"
"298",9.930472,0.630146,-0.074522,-9.158448,"A","blue"
"299",9.963361,0.648702,0.033819,-10.182754,"A","blue"
"300",9.997248,0.564902,-0.051926,-9.85324,"A","blue"
"301",10.030293,0.610244,0.182714,-9.994652,"A","blue"
"302",10.063838,0.604258,0.116871,-10.397192,"A","blue"
"303",10.097283,0.68297,-0.073924,-10.24695,"A","blue"
"304",10.130474,0.829022,0.198127,-10.097158,"A","blue"
"305",10.163831,0.707961,-0.073924,-10.058999,"A","blue"
"306",10.197254,0.762431,-0.123455,-9.728288,"A","blue"
"307",10.230728,0.847578,0.115375,-9.467311,"A","blue"
"308",10.263851,0.751657,0.144106,-9.387701,"A","blue"
"309",10.297239,-0.21369,-0.348219,-10.327907,"A","blue"
"310",10.330323,-0.393112,-0.470328,-10.325962,"A","blue"
"311",10.363789,-0.328766,-0.34792,-9.257212,"A","blue"
"312",10.396597,-0.098914,-0.31844,-9.971458,"A","blue"
"313",10.430463,0.089038,-0.306169,-10.155519,"A","blue"
"314",10.463768,0.187353,-0.241224,-9.043671,"A","blue"
"315",10.49711,-0.038009,-0.332357,-9.480629,"A","blue"
"316",10.529515,-0.089786,-0.463594,-10.391655,"A","blue"
"317",10.563809,-0.12989,-0.40254,-9.446361,"A","blue"
"318",10.597294,-0.10071,-0.368122,-9.737566,"A","blue"
"319",10.629767,-0.149493,-0.331908,-11.987148,"A","blue"
"320",10.663837,-0.236286,-0.082902,-10.399287,"A","blue"
"321",10.697255,-0.081555,0.169545,-7.864934,"A","blue"
"322",10.73051,-0.040553,-0.335499,-9.805504,"A","blue"
"323",10.763898,-0.001496,-0.432169,-10.605345,"A","blue"
"324",10.797109,-0.006584,-0.415858,-9.756122,"A","blue"
"325",10.830242,0.220274,-0.336846,-9.16144,"A","blue"
"326",10.864096,0.094125,-0.127346,-10.0795,"A","blue"
"327",10.896572,-0.014665,-0.02095,-11.042003,"A","blue"
