time_tick,lac_X_value,lac_Y_value,lac_Z_value
7.022873,-0.618229,1.658599,1.997711
7.052868,-1.982382,1.622854,3.173727
7.082896,-2.387718,-0.176436,4.484644
7.122949,-0.061257,-1.174066,0.207708
7.162979,0.888187,-1.304844,-5.157556
7.192978,0.431579,-1.217569,-6.713606
7.222917,-1.142118,0.414611,-1.834295
7.262940,0.181381,0.858488,3.144092
7.292978,0.567713,1.035968,2.666440
7.322996,0.026290,1.393801,0.140344
7.353031,0.174730,1.059307,-2.441555
7.393061,-0.793835,-0.262243,-0.264411
7.423085,0.901545,-1.601800,1.858720
7.463114,-0.065739,-0.140620,0.624887
7.493137,-0.328745,0.939178,0.815394
7.523160,0.497262,0.875876,0.357812
7.553183,1.058890,1.341863,0.107974
7.593211,1.221714,0.693605,-0.622104
7.623233,0.256337,1.039544,-1.591056
7.663254,0.433789,0.457072,1.023218
7.693283,0.095308,0.488189,1.091530
7.733303,-0.419860,0.199921,-0.371656
7.763339,-1.909390,-1.852032,0.399188
7.793362,0.571088,-0.693111,1.045745
7.823384,0.254778,-1.899543,-0.490606
7.853407,-0.166801,0.438930,-0.752141
7.893436,0.307997,-0.980698,-0.795722
7.923458,0.478178,-2.364548,-0.608586
7.963486,0.487623,4.594468,-0.341912
7.993484,0.706090,-3.438154,-0.908017
8.023510,1.345729,16.685583,0.380888
8.063565,1.568627,-0.982719,0.079627
8.093588,-1.952124,1.322776,-3.637945
8.123610,0.645563,-0.304617,3.437523
8.153633,-1.189396,0.003582,0.220884
8.183655,-0.692723,-0.210423,-1.380165
8.223682,-0.052771,0.544266,-1.505511
8.253706,1.408396,0.400677,-0.097479
8.283732,1.360640,1.199578,-0.486775
8.323760,0.658590,0.207760,-0.470253
8.363787,-0.688551,0.561476,-1.777058
8.393785,-0.734836,0.035755,0.165228
8.423815,-1.419693,-1.164806,1.940296
8.453844,-0.644068,-0.262885,1.748470
8.493880,0.340623,-1.129815,0.398517
8.523904,0.720496,1.083022,0.084077
8.563940,1.140858,1.489278,-0.848742
8.593962,0.354747,0.028102,0.239934
8.623985,-0.148002,-0.000477,0.036997
8.664000,1.928485,-11.686756,0.294675
8.694014,-3.264300,-8.996055,1.772687
8.724059,1.524712,10.434396,-2.324052
8.764089,2.429524,13.304940,0.807702
8.794111,1.224577,1.407893,0.169686
8.824134,0.120639,0.589745,-0.642901
8.864152,-0.320921,0.052919,-0.114166
8.894180,-0.133186,-0.404497,0.122941
8.924204,0.020139,-0.351471,0.007867
8.964241,0.320565,0.221332,0.082011
8.994263,0.465554,0.713240,-0.080084
9.024286,0.333212,0.617393,-0.194136
9.054308,0.122576,0.415776,0.009691
9.084331,0.066995,0.358608,-0.059963
9.124359,0.441253,-1.204182,0.263176
9.164390,-0.328322,-1.101712,-0.142886
9.194412,-0.000012,-1.677635,-0.222827
9.224435,0.062386,1.977982,0.027096
9.264465,0.030409,0.789032,-0.175693
9.294489,-0.048188,1.265561,-0.059924
9.324510,0.286562,2.453858,0.012130
9.354509,0.375426,0.894716,0.091768
9.394544,0.340700,0.634504,-0.031793
9.424574,0.181453,0.237000,0.047745
9.454603,0.072782,-0.306401,0.028617
9.484602,0.274453,-0.332949,0.096768
9.524660,0.465735,0.251448,0.176105
9.564684,0.212922,0.960739,0.057367
9.594713,0.092176,0.881622,-0.305206
9.624736,0.065773,0.596648,-0.004292
9.654759,0.174682,0.094857,0.236815
9.694787,0.074163,0.331098,-0.222614
9.724809,0.029196,0.249358,0.003677
9.754832,0.128637,0.377052,0.047268
9.794862,0.116931,0.080187,0.132851
9.824885,0.087242,0.407260,0.085190
9.864916,-0.790743,1.174614,-0.799865
9.904944,-0.457047,0.416577,-0.188530
9.924960,-0.267503,0.320430,0.203188
9.954974,-0.088074,0.225207,0.112113
